sample,input,filtered,denoisedF,denoisedR,merged,nochim,perc_original_sequences
3002-01-crs,36262,35043,34730,34278,34025,33573,92.5845237438641
3006-01-crs,352662,341277,340515,340084,338918,322802,91.53296924533973
3012-01-crs,61614,58913,58121,58227,57554,56962,92.44976790989061
3014-01-crs,15092,14367,13962,14014,13752,13510,89.51762523191094
3017-01-crs,110414,105995,105384,105743,105200,104522,94.6637201804119
3022-01-crs,3300,2972,2772,2822,2689,2678,81.15151515151516
3030-01-crs,40647,39101,38827,38659,38049,37844,93.10404211872955
3035-01-crs,107942,104542,103937,103597,102033,100423,93.03422208222935
3037-01-crs,29623,27887,27478,26911,26319,25737,86.88181480606285
3039-01-crs,20585,19815,19299,18797,18444,17545,85.23196502307505
3041-01-crs,4836,4540,4368,4150,4101,3985,82.40281224152191
3042-01-crs,2480,2160,1718,980,887,398,16.048387096774196
3043-01-crs,3575,3416,3206,3159,3007,2884,80.67132867132867
3045-01-crs,7459,7137,6969,6881,6605,6523,87.45140099209009
3052-01-crs,17195,16362,16024,15956,15350,13252,77.0689153823786
3053-01-crs,5783,4982,4533,3678,3446,2361,40.826560608680616
5009-01-w,1098,764,608,465,385,385,35.063752276867035
5011-01-w,2067,1875,1795,1782,1692,1692,81.8577648766328
5012-01-w,498,396,346,335,303,303,60.8433734939759
3010SNY,5114,4189,3670,3568,3216,2306,45.09190457567462
3013SNY,200995,193320,191962,192056,186078,184270,91.67889748501207
3015SNY,12181,9888,8902,9008,8201,1017,8.349068220999918
3016SNY,153729,144810,144057,143557,140055,138467,90.07213993456017
3020SNY,100860,93749,92326,92561,89711,66773,66.20364862185207
3040SNY,39915,35547,34430,34581,33836,1814,4.5446573969685575
3046SNY,4352,2970,2272,2439,1745,1501,34.489889705882355
3048SNY,160090,131054,130302,127572,121456,120233,75.10337934911611
3050SNY,6826,4815,4222,4505,3978,1229,18.00468795780838
3054SNY,11183,9251,8027,8049,7113,5126,45.83743181614952
3055SNY,210346,184099,182531,183163,175550,175084,83.23619179827523
3057SNN,12181,9802,8331,9032,7768,2952,24.234463508743122
3058SNY,2144,1336,1030,1079,878,497,23.18097014925373
3059SNY,75074,66958,65691,66411,63591,62789,83.636145669606
3060SNY,117553,104634,103475,103808,99059,97241,82.72098542784957
3062SNY,52212,48802,48092,48120,46370,45651,87.43392323603769
3063SNY,45285,42180,41531,41073,39306,36901,81.48614331456332
3064SNY,436076,414001,412884,411387,401761,397582,91.17263963162384
3066SNY,206559,196271,195640,195353,187810,183048,88.61777990791977
3067SNY,235573,223560,222701,221803,217043,213786,90.75148680026997
3069SNY,9321,8192,7775,7566,7263,6956,74.62718592425705
3071SNN,5520,4843,4242,3653,3418,1814,32.86231884057971
3073SNY,39936,37421,36667,36236,34875,29768,74.53926282051282
3074SNY,70708,67043,65937,65738,63455,61892,87.531821010352445
3076SNY,8613,6938,5578,5642,4665,637,7.395797050969464
3079SNN,86898,79038,77538,77555,76542,4956,5.703238279362011
3080SNY,208246,196157,188224,187189,146892,144616,69.44479125649472
3081SNY,3095,2353,1997,1828,1780,1256,40.58158319870759
5020W,4296,3717,3539,3504,3398,1539,35.824022346368714
5021W,2683,1824,1469,1350,1147,1118,41.6697726425643
3086SNY,103169,99702,99090,98917,96586,94768,91.85705008287374
3088SNY,175664,173228,173033,172843,172459,171405,97.57548501685035
3090SNN,107606,103825,103619,103211,96966,95876,89.09912086686616
3093SNY,279965,272260,271821,270981,267470,260560,93.06877645419964
3095SNY,169505,165797,165626,165565,165234,164155,96.84375092180171
3097SNN,6650,6078,5873,5466,5137,4694,70.58646616541353
3099SNN,5570,5203,5040,4835,4438,4188,75.18850987432674
3101SNY,247559,239116,238667,238515,236227,230535,93.12325546637368
3105SNY,99396,96157,95957,95867,95041,94454,95.0279689323514
3106SNY,19194,18446,18325,18110,18073,17912,93.32082942586226
3109SNY,12193,11221,11053,10455,10254,9758,80.02952513737391
3110SNY,12441,12009,11882,11832,11778,11705,94.08407684269753
3111SNY,4561,3550,3325,2847,2602,1383,30.322297741723307
3114SNN,60450,58560,58247,57992,57037,56369,93.24896608767577
3123SNY,31122,29506,29362,29248,29123,28803,92.54867939078466
5031W,547,449,405,358,324,324,59.23217550274224
3124SNY,32113,29538,29278,28928,28050,27507,85.65689907514091
3125SNN,20847,18557,17952,17520,15639,14219,68.20645656449369
3126SNY,42573,39411,39170,39053,38308,38004,89.26784581777183
3135SNY,2036,1494,1304,1142,558,350,17.19056974459725
3136SNN,59293,55848,55665,55561,55405,55105,92.93677162565565
3138SNN,2436,1818,1524,1393,563,277,11.371100164203613
3139SNY,13799,11722,11346,11077,10278,9939,72.02695847525183
3140SNN,8989,7736,7385,7128,6202,5909,65.73589943263988
3143SNY,93956,85648,85188,84822,83104,81514,86.75763123164035
3144SNY,44853,41318,40912,40049,39397,38571,85.99424787639623
3145SNN,2870,1888,1681,1437,1168,1023,35.64459930313589
3146SNY,2204,1694,1450,1317,585,349,15.834845735027223
3147SNY,3561,2884,2618,2403,1274,940,26.39707947205841
3148SNY,42302,37243,36964,36855,36445,36026,85.16382204151104
3150SNN,14513,12084,11564,11363,10610,9886,68.11823882036795
3152SNY,4140,2778,2377,2142,977,372,8.985507246376812
3153SNY,3899,2699,2329,2063,1163,957,24.544755065401386
3157SNY,157936,147416,146708,145785,143676,136008,86.11589504609462
3160SNY,4040,3348,3154,2941,2331,2154,53.31683168316832
3164SNY,28302,25571,25140,24414,23663,22669,80.09681294608156
3165SNY,3927,3371,3154,2885,2291,2102,53.52686529157117
3166SNY,3828,2930,2647,1972,934,549,14.341692789968652
3170SNY,2514,2003,1781,1512,451,221,8.79077167859984
3172SNY,2212,1718,1450,1332,463,291,13.155515370705245
3173SNY,5683,4317,3938,3277,2628,2083,36.65317613936301
3174SNY,37637,35694,35342,35153,34204,33717,89.58471716661795
3175SNY,74221,67381,66884,66516,65305,63368,85.37745382034734
3176SNN,17542,15548,15235,14887,13899,13521,77.07787025424695
3178SNY,5964,4591,4155,3848,2374,872,14.621059691482227
3179SNY,13053,11661,11470,11381,11037,10810,82.81621083275876
3180SNY,66974,60842,60403,60004,59070,56154,83.84447696120883
3182SNY,49203,44346,43956,43571,42759,42224,85.8159055342154
3183SNY,11360,9955,9744,9509,8563,8258,72.69366197183098
3185SNN,3161,2628,2453,2394,1924,1743,55.14077823473584
3186SNY,27493,24702,24454,24163,23109,22936,83.4248717855454
5040B,213,137,77,90,61,61,28.638497652582164
3189SNY,96727,93622,93119,93245,92039,85254,88.13878234619082
3190SNY,20082,18960,18711,18443,18288,16782,83.56737376755304
3191SNN,53099,51118,50717,50659,50006,47432,89.32748262679146
3194SNY,33547,31126,30782,30743,30189,27596,82.26070885623156
3199SNY,42040,38571,38213,38045,37410,34083,81.07278782112274
3200SNY,91378,87561,86646,86643,84384,80819,88.44470222591872
3202SNY,37340,34820,34501,34384,34058,30798,82.47991430101767
3203SNN,39544,37426,37074,37070,36560,35475,89.71019623710298
3204SNY,81900,78544,78137,78096,76914,75256,91.88766788766789
3260SNY,40474,38793,38545,38468,38223,37222,91.96521223501507
3260SNYE,91545,87543,86967,87044,85630,77747,84.92763121961877
3262SNY,37998,35684,35319,35278,34615,32179,84.68603610716353
3262SNYE,122362,117938,117410,117178,115167,103210,84.3480819208578
PWRSOILCCVK7,2,2,2,2,2,2,100
164NY2,6527,6318,6206,6169,5797,5656,86.65543128542976
164NY2ENRICH,51714,50275,50009,50046,49360,46344,89.61596472908691
222NY2,23786,23226,23035,22986,22609,22087,92.85714285714286
222NY2ENRICH,45428,44148,43867,43891,43299,40284,88.6765871268821
230NY,11978,11731,11592,11586,11237,11086,92.55301385874102
