Kingdom,Phylum,Class,Order,Family,Genus,Species,TaxName,Prevalence_CRS,Prevalence_NonCRS,Abundance_CRS,Abundance_NonCRS,PercentAbundance_CRS,PercentAbundance_NonCRS,avgRelAbun_CRS,avgRelAbun_NonCRS
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,NA,Actinomyces,9,4,50,169,0.0403,0.4447,0.04032258064516129,0.4447368421052632
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,graevenitzii,Actinomyces graevenitzii,5,4,27,8,0.0218,0.0211,0.021774193548387097,0.021052631578947368
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,odontolyticus,Actinomyces odontolyticus,18,8,186,227,0.15,0.5974,0.15,0.5973684210526315
Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,muciniphila,Akkermansia muciniphila,2,1,178,1,0.1435,0.0026,0.1435483870967742,0.002631578947368421
Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus,NA,Anaerococcus,8,6,709,78,0.5718,0.2053,0.5717741935483871,0.20526315789473684
Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus,nagyae,Anaerococcus nagyae,2,2,13,7,0.0105,0.0184,0.010483870967741936,0.018421052631578946
Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus,octavius,Anaerococcus octavius,7,7,227,101,0.1831,0.2658,0.18306451612903227,0.2657894736842105
Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus,provenciensis,Anaerococcus provenciensis,1,3,3,101,0.0024,0.2658,0.0024193548387096775,0.2657894736842105
Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Atopobium,parvulum,Atopobium parvulum,5,3,44,15,0.0355,0.0395,0.035483870967741936,0.03947368421052632
Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Atopobium,rimae,Atopobium rimae,1,1,24,6,0.0194,0.0158,0.01935483870967742,0.015789473684210527
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA,Bacteroides,2,1,1521,62,1.2266,0.1632,1.2266129032258064,0.1631578947368421
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,acidifaciens,Bacteroides acidifaciens,3,1,241,69,0.1944,0.1816,0.19435483870967743,0.18157894736842106
Bacteria,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,NA,Campylobacter,9,5,104,128,0.0839,0.3368,0.08387096774193549,0.3368421052631579
Bacteria,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,concisus,Campylobacter concisus,14,5,215,183,0.1734,0.4816,0.17338709677419356,0.4815789473684211
Bacteria,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,gracilis,Campylobacter gracilis,4,NA,284,NA,0.229,NA,0.22903225806451613,NA
Bacteria,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,ureolyticus,Campylobacter ureolyticus,1,2,5,17,0.004,0.0447,0.004032258064516129,0.04473684210526316
Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,leadbetteri,Capnocytophaga leadbetteri,9,2,71,13,0.0573,0.0342,0.05725806451612903,0.034210526315789476
Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,ochracea,Capnocytophaga ochracea,1,NA,41,NA,0.0331,NA,0.03306451612903226,NA
Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,sputigena,Capnocytophaga sputigena,5,2,20,4,0.0161,0.0105,0.016129032258064516,0.010526315789473684
Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,acnes,Cutibacterium acnes,33,12,1268,1305,1.0226,3.4342,1.0225806451612902,3.4342105263157894
Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,avidum,Cutibacterium avidum,2,2,5,16,0.004,0.0421,0.004032258064516129,0.042105263157894736
Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,granulosum,Cutibacterium granulosum,5,7,135,66,0.1089,0.1737,0.10887096774193548,0.1736842105263158
Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Dialister,invisus,Dialister invisus,6,2,43,22,0.0347,0.0579,0.03467741935483871,0.05789473684210526
Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Dialister,micraerophilus,Dialister micraerophilus,NA,1,NA,20,NA,0.0526,NA,0.05263157894736842
Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Dialister,pneumosintes,Dialister pneumosintes,10,3,384,31,0.3097,0.0816,0.3096774193548387,0.08157894736842106
Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Dialister,propionicifaciens,Dialister propionicifaciens,1,3,38,23,0.0306,0.0605,0.03064516129032258,0.060526315789473685
Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Neisseriaceae,Eikenella,corrodens,Eikenella corrodens,6,NA,72,NA,0.0581,NA,0.058064516129032254,NA
Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Finegoldia,magna,Finegoldia magna,9,7,1403,172,1.1315,0.4526,1.131451612903226,0.45263157894736844
Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,NA,Fusobacterium,15,2,1789,34,1.4427,0.0895,1.4427419354838709,0.08947368421052633
Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,nucleatum,Fusobacterium nucleatum,19,6,4139,1142,3.3379,3.0053,3.3379032258064516,3.0052631578947366
Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,periodonticum,Fusobacterium periodonticum,12,2,525,133,0.4234,0.35,0.42338709677419356,0.35000000000000003
Bacteria,Firmicutes,Bacilli,Bacillales,Family_XI,Gemella,NA,Gemella,16,7,215,76,0.1734,0.2,0.17338709677419356,0.19999999999999998
