Kingdom,Phylum,Class,Order,Family,Genus,Species,TaxName,Prevalence_CRS,Prevalence_NonCRS,Abundance_CRS,Abundance_NonCRS,PercentAbundance_CRS,PercentAbundance_NonCRS,avgRelAbun_CRS,avgRelAbun_NonCRS
Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus,NA,Anaerococcus,8,6,716,97,0.5774,0.2553,0.5774193548387098,0.2552631578947368
Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus,nagyae,Anaerococcus nagyae,2,1,13,2,0.0105,0.0053,0.010483870967741934,0.005263157894736842
Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus,octavius,Anaerococcus octavius,7,7,223,104,0.1798,0.2737,0.17983870967741936,0.2736842105263158
Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus,provenciensis,Anaerococcus provenciensis,1,3,5,101,0.004,0.2658,0.004032258064516129,0.2657894736842105
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA,Bacteroides,2,1,1521,62,1.2266,0.1632,1.2266129032258064,0.1631578947368421
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,acidifaciens,Bacteroides acidifaciens,3,1,241,69,0.1944,0.1816,0.19435483870967743,0.18157894736842106
Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,NA,Corynebacterium,17,10,2503,2916,2.0185,7.6737,2.018548387096774,7.673684210526316
Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,amycolatum,Corynebacterium amycolatum,2,NA,236,NA,0.1903,NA,0.1903225806451613,NA
Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,appendicis,Corynebacterium appendicis,2,NA,24,NA,0.0194,NA,0.019354838709677417,NA
Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,kroppenstedtii,Corynebacterium kroppenstedtii,2,2,9,14,0.0073,0.0368,0.007258064516129033,0.0368421052631579
Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,matruchotii,Corynebacterium matruchotii,2,1,5,125,0.004,0.3289,0.004032258064516129,0.32894736842105265
Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,pseudodiphtheriticum,Corynebacterium pseudodiphtheriticum,10,4,3647,1184,2.9411,3.1158,2.9411290322580643,3.115789473684211
Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,tuberculostearicum,Corynebacterium tuberculostearicum,22,11,964,1030,0.7774,2.7105,0.7774193548387097,2.710526315789474
Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,NA,Cutibacterium,NA,2,NA,23,NA,0.0605,NA,0.060526315789473685
Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,acnes,Cutibacterium acnes,32,12,1259,1312,1.0153,3.4526,1.0153225806451613,3.4526315789473685
Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,avidum,Cutibacterium avidum,1,2,3,19,0.0024,0.05,0.0024193548387096775,0.049999999999999996
Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,granulosum,Cutibacterium granulosum,6,7,130,65,0.1048,0.1711,0.10483870967741936,0.17105263157894737
Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Finegoldia,magna,Finegoldia magna,9,7,1407,187,1.1347,0.4921,1.1346774193548388,0.4921052631578947
Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,NA,Fusobacterium,16,2,1792,34,1.4452,0.0895,1.4451612903225806,0.08947368421052633
Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,nucleatum,Fusobacterium nucleatum,19,5,4140,1139,3.3387,2.9974,3.338709677419355,2.9973684210526312
Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,periodonticum,Fusobacterium periodonticum,12,2,535,133,0.4315,0.35,0.4314516129032258,0.35000000000000003
Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,NA,Haemophilus,19,8,4461,2141,3.5976,5.6342,3.5975806451612904,5.63421052631579
Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,parainfluenzae,Haemophilus parainfluenzae,25,8,824,432,0.6645,1.1368,0.6645161290322581,1.1368421052631579
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Klebsiella,NA,Klebsiella,9,5,2396,183,1.9323,0.4816,1.932258064516129,0.4815789473684211
Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Lawsonella,clevelandensis,Lawsonella clevelandensis,12,8,304,979,0.2452,2.5763,0.24516129032258066,2.5763157894736843
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxella,NA,Moraxella,13,9,5641,5604,4.5492,14.7474,4.549193548387096,14.74736842105263
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxella,nonliquefaciens,Moraxella nonliquefaciens,1,NA,1036,NA,0.8355,NA,0.835483870967742,NA
Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Neisseriaceae,Neisseria,NA,Neisseria,20,7,1651,131,1.3315,0.3447,1.331451612903226,0.3447368421052632
Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Neisseriaceae,Neisseria,flavescens,Neisseria flavescens,NA,2,NA,72,NA,0.1895,NA,0.18947368421052632
Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Neisseriaceae,Neisseria,oralis,Neisseria oralis,5,NA,27,NA,0.0218,NA,0.021774193548387097,NA
Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Neisseriaceae,Neisseria,polysaccharea,Neisseria polysaccharea,1,1,26,65,0.021,0.1711,0.020967741935483872,0.17105263157894737
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,NA,Porphyromonas,2,1,45,90,0.0363,0.2368,0.036290322580645164,0.23684210526315788
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,endodontalis,Porphyromonas endodontalis,10,3,656,151,0.529,0.3974,0.5290322580645161,0.3973684210526316
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,gingivalis,Porphyromonas gingivalis,2,NA,38,NA,0.0306,NA,0.030645161290322583,NA
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,pasteri,Porphyromonas pasteri,9,3,304,41,0.2452,0.1079,0.24516129032258066,0.10789473684210527
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA,Prevotella,20,7,2595,281,2.0927,0.7395,2.092741935483871,0.7394736842105264
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,baroniae,Prevotella baroniae,3,NA,63,NA,0.0508,NA,0.05080645161290323,NA
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,bivia,Prevotella bivia,NA,1,NA,5,NA,0.0132,NA,0.013157894736842105
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,buccalis,Prevotella buccalis,2,1,12,1,0.0097,0.0026,0.00967741935483871,0.002631578947368421
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,conceptionensis,Prevotella conceptionensis,4,NA,92,NA,0.0742,NA,0.07419354838709678,NA
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,dentalis,Prevotella dentalis,3,NA,67,NA,0.054,NA,0.05403225806451612,NA
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,denticola,Prevotella denticola,1,2,2,33,0.0016,0.0868,0.0016129032258064516,0.0868421052631579
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,disiens,Prevotella disiens,1,NA,27,NA,0.0218,NA,0.021774193548387097,NA
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,histicola,Prevotella histicola,9,4,440,207,0.3548,0.5447,0.3548387096774194,0.5447368421052632
