"","subject_id"
"1","3017-01-crs"
"2","3124SNY"
"3","3179SNY"
"4","3059SNY"
"5","3074SNY"
"6","3012-01-crs"
"7","3106SNY"
"8","3095SNY"
"9","3110SNY"
"10","3190SNY"
"11","3037-01-crs"
"12","3054SNY"
"13","3039-01-crs"
"14","3144SNY"
"15","3165SNY"
"16","3204SNY"
"17","3062SNY"
"18","3122SNY"
"19","3199SNY"
"20","3093SNY"
"21","3126SNY"
"22","3014-01-crs"
"23","3006-01-crs"
"24","3030-01-crs"
"25","3186SNY"
"26","3157SNY"
"27","3064SNY"
"28","3101SNY"
"29","3067SNY"
"30","3079SNN"
"31","3041-01-crs"
"32","3052-01-crs"
"33","3010SNY"
"34","3183SNY"
"35","3043-01-crs"
"36","3016SNY"
"37","3200SNY"
"38","3060SNY"
"39","3143SNY"
"40","3175SNY"
"41","3066SNY"
"42","3069SNY"
"43","3189SNY"
"44","3080SNY"
"45","3202SNY"
"46","3073SNY"
"47","3086SNY"
"48","3194SNY"
"49","3055SNY"
"50","3063SNY"
"51","3180SNY"
"52","3139SNY"
"53","3105SNY"
"54","3148SNY"
"55","3109SNY"
"56","3182SNY"
"57","3020SNY"
"58","3123SNY"
"59","3013SNY"
"60","3174SNY"
"61","3002-01-crs"
"62","3164SNY"
