Medium,GrowthCondition,PlotLetter,TechRep,BioRep,OD600
Super164,Anaerobic,A,1,LAC1,0.07
Super164,Anaerobic,A,2,LAC1,0.074
Super164,Anaerobic,A,3,LAC1,0.07
Super164,Anaerobic,A,1,LAC2,0.068
Super164,Anaerobic,A,2,LAC2,0.065
Super164,Anaerobic,A,3,LAC2,0.065
Super164,Anaerobic,A,1,LAC3,0.067
Super164,Anaerobic,A,2,LAC3,0.066
Super164,Anaerobic,A,3,LAC3,0.064
Super164,Anaerobic,A,1,Blank,0.043
Super164,Anaerobic,A,2,Blank,0.043
Super164,Anaerobic,A,3,Blank,0.042
Super222,Anaerobic,B,1,LAC1,0.083
Super222,Anaerobic,B,2,LAC1,0.072
Super222,Anaerobic,B,3,LAC1,0.073
Super222,Anaerobic,B,1,LAC2,0.071
Super222,Anaerobic,B,2,LAC2,0.069
Super222,Anaerobic,B,3,LAC2,0.069
Super222,Anaerobic,B,1,LAC3,0.07
Super222,Anaerobic,B,2,LAC3,0.069
Super222,Anaerobic,B,3,LAC3,0.07
Super222,Anaerobic,B,1,Blank,0.043
Super222,Anaerobic,B,2,Blank,0.043
Super222,Anaerobic,B,3,Blank,0.043
Super230,Anaerobic,C,1,LAC1,0.071
Super230,Anaerobic,C,2,LAC1,0.064
Super230,Anaerobic,C,3,LAC1,0.064
Super230,Anaerobic,C,1,LAC2,0.058
Super230,Anaerobic,C,2,LAC2,0.059
Super230,Anaerobic,C,3,LAC2,0.055
Super230,Anaerobic,C,1,LAC3,0.054
Super230,Anaerobic,C,2,LAC3,0.056
Super230,Anaerobic,C,3,LAC3,0.056
Super230,Anaerobic,C,1,Blank,0.043
Super230,Anaerobic,C,2,Blank,0.043
Super230,Anaerobic,C,3,Blank,0.043
Super234,Anaerobic,D,1,LAC1,0.097
Super234,Anaerobic,D,2,LAC1,0.067
Super234,Anaerobic,D,3,LAC1,0.079
Super234,Anaerobic,D,1,LAC2,0.079
Super234,Anaerobic,D,2,LAC2,0.075
Super234,Anaerobic,D,3,LAC2,0.069
Super234,Anaerobic,D,1,LAC3,0.079
Super234,Anaerobic,D,2,LAC3,0.075
Super234,Anaerobic,D,3,LAC3,0.074
Super234,Anaerobic,D,1,Blank,0.041
Super234,Anaerobic,D,2,Blank,0.042
Super234,Anaerobic,D,3,Blank,0.042
Super235,Anaerobic,E,1,LAC1,0.066
Super235,Anaerobic,E,2,LAC1,0.051
Super235,Anaerobic,E,3,LAC1,0.059
Super235,Anaerobic,E,1,LAC2,0.062
Super235,Anaerobic,E,2,LAC2,0.059
Super235,Anaerobic,E,3,LAC2,0.058
Super235,Anaerobic,E,1,LAC3,0.061
Super235,Anaerobic,E,2,LAC3,0.062
Super235,Anaerobic,E,3,LAC3,0.061
Super235,Anaerobic,E,1,Blank,0.042
Super235,Anaerobic,E,2,Blank,0.042
Super235,Anaerobic,E,3,Blank,0.043
Super243,Anaerobic,F,1,LAC1,0.114
Super243,Anaerobic,F,2,LAC1,0.099
Super243,Anaerobic,F,3,LAC1,0.094
Super243,Anaerobic,F,1,LAC2,0.096
Super243,Anaerobic,F,2,LAC2,0.096
Super243,Anaerobic,F,3,LAC2,0.097
Super243,Anaerobic,F,1,LAC3,0.093
Super243,Anaerobic,F,2,LAC3,0.095
Super243,Anaerobic,F,3,LAC3,0.09
Super243,Anaerobic,F,1,Blank,0.042
Super243,Anaerobic,F,2,Blank,0.042
Super243,Anaerobic,F,3,Blank,0.043
Super260,Anaerobic,G,1,LAC1,0.083
Super260,Anaerobic,G,2,LAC1,0.07
Super260,Anaerobic,G,3,LAC1,0.075
Super260,Anaerobic,G,1,LAC2,0.072
Super260,Anaerobic,G,2,LAC2,0.065
Super260,Anaerobic,G,3,LAC2,0.069
Super260,Anaerobic,G,1,LAC3,0.062
Super260,Anaerobic,G,2,LAC3,0.06
Super260,Anaerobic,G,3,LAC3,0.064
Super260,Anaerobic,G,1,Blank,0.041
Super260,Anaerobic,G,2,Blank,0.042
Super260,Anaerobic,G,3,Blank,0.042
Super262,Anaerobic,H,1,LAC1,0.14
Super262,Anaerobic,H,2,LAC1,0.117
Super262,Anaerobic,H,3,LAC1,0.109
Super262,Anaerobic,H,1,LAC2,0.096
Super262,Anaerobic,H,2,LAC2,0.098
Super262,Anaerobic,H,3,LAC2,0.097
Super262,Anaerobic,H,1,LAC3,0.087
Super262,Anaerobic,H,2,LAC3,0.089
Super262,Anaerobic,H,3,LAC3,0.095
Super262,Anaerobic,H,1,Blank,0.042
Super262,Anaerobic,H,2,Blank,0.043
Super262,Anaerobic,H,3,Blank,0.043
Super164,Nitrate3mM,A,1,LAC1,0.088
Super164,Nitrate3mM,A,2,LAC1,0.081
