GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,pan_gene_symbol,product,TIGRFAM Meta Role,TIGRFAM Main Role,TIGRFAM Sub Role,TIGRFAM function,TIGRFAM,TIGRFAM HMM score
SAUSA300_RS00020,1385.0527683312382,1.1454377383914967,0.09561254217324648,178.21694777034378,1.998395765807987e-39,2.6492246571049123e-38,-,RNA-binding protein,Genetic information processing,DNA metabolism,"DNA replication, recombination, and repair",S4 domain protein YaaA,TIGR02988,90
SAUSA300_RS00025,4966.871785519784,1.2074498734751489,0.07582741914695633,286.10990308826104,7.447730197508833e-63,1.699121703199108e-61,recF,DNA replication and repair protein RecF,Genetic information processing,DNA metabolism,"DNA replication, recombination, and repair",DNA replication and repair protein RecF,TIGR00611,475
SAUSA300_RS00030,6168.325533786453,1.5561080204726447,0.16198627778258887,90.82664292374255,1.8934118210954085e-20,1.2722171208867095e-19,gyrB,DNA gyrase subunit B,Genetic information processing,DNA metabolism,"DNA replication, recombination, and repair","DNA gyrase, B subunit",TIGR01059,985.5
SAUSA300_RS00035,10034.46106514755,1.4628133405236903,0.1127723380792144,165.66619557887714,1.0617999757693445e-36,1.3129736675164626e-35,gyrA,DNA gyrase subunit A,Genetic information processing,DNA metabolism,"DNA replication, recombination, and repair","DNA gyrase, A subunit",TIGR01063,1209
SAUSA300_RS00045,1164.9213965435229,1.7412040878166613,0.1564925193797857,269.6320750455028,2.819284033534634e-59,5.9265377933517345e-58,hutH,histidine ammonia-lyase,Metabolism,Energy metabolism,Amino acids and amines,histidine ammonia-lyase,TIGR01225,665
SAUSA300_RS00050,3280.948156091949,1.3714527849130995,0.096986814453923,277.43032603625704,5.711762554073661e-61,1.2540887257160504e-59,serS,serine--tRNA ligase,Genetic information processing,Protein synthesis,tRNA aminoacylation,serine--tRNA ligase,TIGR00414,571.6
SAUSA300_RS00055,287.30100045963553,-1.7511665524392241,0.15951469556889372,167.86014097391865,3.545141071956478e-37,4.47783269303344e-36,-,branched-chain amino acid ABC transporter permease,Metabolism,Transport and binding proteins,"Amino acids, peptides and amines",azaleucine resistance protein AzlC,TIGR00346,89.7
SAUSA300_RS00060,250.16151289012535,-2.3176615778740723,0.17785824811319842,218.58072383742908,3.4339889512064645e-48,5.84175114647435e-47,-,membrane protein,Genetic information processing,Protein fate,Protein and peptide secretion and trafficking,type II secretion system protein F,TIGR02120,9.3
SAUSA300_RS00065,3080.5033047792717,-1.0276436615093898,0.07544088556257729,240.84532633505535,5.024604584296718e-53,9.242132057240775e-52,metX,homoserine O-acetyltransferase,Metabolism,Amino acid biosynthesis,Aspartate family,homoserine O-acetyltransferase,TIGR01392,202
SAUSA300_RS00090,393.88011052502395,1.2892336614252182,0.14502133565234956,91.06240345097437,1.6828690999792746e-20,1.1385479910894264e-19,purA,adenylosuccinate synthetase,Metabolism,"Purines, pyrimidines, nucleosides, and nucleotides",Purine ribonucleotide biosynthesis,adenylosuccinate synthase,TIGR00184,595
SAUSA300_RS00130,706.6687108199393,1.6227528040218042,0.1462288368235734,138.9177321202295,6.829639038014424e-31,7.102341939532313e-30,adsA,"multifunctional 2',3'-cyclic-nucleotide 2'-phosphodiesterase/5'-nucleotidase/3'-nucleotidase",Metabolism,"Biosynthesis of cofactors, prosthetic groups, and carriers; Transport and binding proteins",Pyridine nucleotides; Other,NAD nucleotidase,TIGR01530,134.4
SAUSA300_RS00140,1204.9300432914645,1.0261646901110837,0.12551957055082386,66.62442091317196,3.409500972887785e-15,1.745071541427609e-14,-,hypothetical protein,NA,NA,NA,NA,NA,NA
SAUSA300_RS00220,509.1779922036508,1.065385900127124,0.13465565631708637,62.16251247838247,3.1738173117894126e-14,1.5089732388685366e-13,-,hypothetical protein,NA,NA,NA,NA,NA,NA
SAUSA300_RS00280,1315.2365956958524,-2.6416608064080975,0.22685266670480644,394.9418621858342,1.7356585421309685e-86,5.739374257855551e-85,adhC,alcohol dehydrogenase,NA,Unknown function,Enzymes of unknown specificity,"NDMA-dependent alcohol dehydrogenase, Rxyl_3153 family",TIGR03989,332.2
SAUSA300_RS00480,99.24944063407082,-1.383172277440788,0.18482693776941417,112.56880232472344,3.5974532425532243e-25,2.9491099980039384e-24,-,flavodoxin family protein,Metabolism,Central intermediary metabolism,Sulfur metabolism,FMN reductase,TIGR03567,18.5
SAUSA300_RS00555,4218.589084157067,-1.0275945131746904,0.10328070247429387,108.45065898638106,2.819931908302742e-24,2.2249489560683566e-23,nptA,Na/Pi cotransporter,Metabolism,Transport and binding proteins,Cations and iron carrying compounds,Na/Pi-cotransporter II-related protein,TIGR00704,250.1
SAUSA300_RS00585,38068.91477023923,4.905236265715102,0.34763527937602895,153.361876809121,4.987599626412646e-34,5.80178090930135e-33,spa,peptidoglycan-binding protein LysM,NA,NA,NA,"gram-positive signal peptide, YSIRK family",TIGR01168,34.6
SAUSA300_RS00595,963.8637268673059,-1.4894057646679157,0.19458946915731745,60.69736145883586,6.60291073653665e-14,3.0698840912523475e-13,sirC,iron ABC transporter permease,NA,NA,NA,"proposed F420-0 ABC transporter, permease protein",TIGR03869,149.6
SAUSA300_RS00605,523.2836029848354,1.880799142334479,0.141894649667804,214.87626100237384,2.1888337539357797e-47,3.63939985188305e-46,sirA,iron ABC transporter substrate-binding protein,NA,NA,NA,"heme ABC transporter, heme-binding protein isdE",TIGR03659,61.7
SAUSA300_RS00610,30.629654532817142,2.2271418374288245,0.3425382399512269,87.86275389633528,8.33384481163916e-20,5.402313938470054e-19,sbnA,siderophore biosynthesis protein SbnA,Cellular processes,Cellular processes,Biosynthesis of natural products,"2,3-diaminopropionate biosynthesis protein SbnA",TIGR03945,447.8
SAUSA300_RS00705,1040.6492602077108,2.0261858709614575,0.14864087172231474,227.33620877367247,4.310915363403473e-50,7.551799949105011e-49,sodM,Superoxide dismutase [Mn/Fe] 2,NA,NA,NA,NA,NA,NA
SAUSA300_RS00710,370.0595512483209,1.8365031917893964,0.1610567635844535,179.7368821254679,9.346132833302122e-40,1.2502576785640067e-38,sasD,hypothetical protein,Cell structure,Cell envelope,Other,LPXTG cell wall anchor domain,TIGR01167,20.7
SAUSA300_RS00760,209.8602067710823,1.4504602088236027,0.18659165165094965,67.77501527678926,1.917972726339037e-15,9.972780448084427e-15,phnD,phosphonate ABC transporter substrate-binding protein,Metabolism,Transport and binding proteins,Anions,"phosphate/phosphite/phosphonate ABC transporter, periplasmic binding protein",TIGR01098,257.2
SAUSA300_RS00885,345.39265222211355,1.1243814509433758,0.1559716657253869,88.25940840261981,6.834598034500708e-20,4.469827114563463e-19,isdI,monooxygenase IsdI,NA,NA,NA,NA,NA,NA
SAUSA300_RS00895,11595.943217124759,1.1586300415785056,0.12368332579922009,105.24688427771403,1.3993600150621744e-23,1.0837675064020998e-22,aldA,aldehyde dehydrogenase,Cellular processes,Cellular processes,Adaptations to atypical conditions,betaine-aldehyde dehydrogenase,TIGR01804,518.9
SAUSA300_RS00910,10699.019656365332,-6.398429080092878,0.1321344659978179,1657.117432381936,0,0,-,hypothetical protein,NA,NA,NA,NA,NA,NA
SAUSA300_RS00915,9276.290375725723,-8.646842515266277,0.20674080964045893,1248.884642893499,6.429031132324021e-272,1.1825399139018497e-269,ssuB,sulfonate ABC transporter ATP-binding protein,Metabolism,Transport and binding proteins,Anions; Other,"nitrate ABC transporter, ATP-binding proteins C and D",TIGR01184,210.1
SAUSA300_RS00920,9748.417859303154,-8.56919958072087,0.18211489922108792,1699.4224476162453,0,0,ssuA,hypothetical protein,Metabolism,Transport and binding proteins,Other,"ABC transporter, substrate-binding protein, aliphatic sulfonates family",TIGR01728,77.6
SAUSA300_RS00925,7359.693865067299,-8.947708206711665,0.20208900171006342,1830.5574945864378,0,0,ssuC,ABC transporter permease,Metabolism,Transport and binding proteins,Anions,"nitrate ABC transporter, permease protein",TIGR01183,140.3
SAUSA300_RS00930,12438.75567988518,-8.385213196148147,0.15865395789223835,2075.090525498532,0,0,-,acyl-CoA dehydrogenase,Metabolism,Central intermediary metabolism,Sulfur metabolism,"sulfur acquisition oxidoreductase, SfnB family",TIGR04022,21.7
SAUSA300_RS00935,12242.699143036816,-1.038190980680733,0.09282951859148639,166.76528558012032,6.128840931321695e-37,7.64287239867786e-36,-,hypothetical protein,NA,NA,NA,conserved hypothetical protein,TIGR01741,15.5
SAUSA300_RS01005,4102.733481650849,1.2816358906236633,0.15969859808793144,62.546764023875625,2.619043801709347e-14,1.2536263707461292e-13,glcA,PTS glucose EIICBA component,Metabolism,Transport and binding proteins,"Carbohydrates, organic alcohols, and acids","PTS system, glucose-specific IIBC component",TIGR02002,800.6
SAUSA300_RS01010,1382.4057771544983,3.0316905511013617,0.13992604407644368,572.7337122421883,4.289973274334084e-125,2.3380354345120758e-123,mupG,hypothetical protein,NA,NA,NA,quinoprotein dehydrogenase-associated SoxYZ-like carrier,TIGR04557,12.1
SAUSA300_RS01015,538.9004601322212,3.2718276164594706,0.23947636983120882,215.1581495163934,1.9010846895680222e-47,3.1789160462492556e-46,murQ,N-acetylmuramic acid 6-phosphate etherase,Cell structure,Cell envelope,Biosynthesis and degradation of murein sacculus and peptidoglycan,N-acetylmuramic acid 6-phosphate etherase,TIGR00274,352.6
