GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,pan_gene_symbol,product,TIGRFAM Meta Role,TIGRFAM Main Role,TIGRFAM Sub Role,TIGRFAM function,TIGRFAM,TIGRFAM HMM score
SAUSA300_RS00045,1098.954892896818,1.4300046855608488,0.1337742036858475,3.2144066173674464,0.001307144244475394,0.023464442081809835,hutH,histidine ammonia-lyase,Metabolism,Energy metabolism,Amino acids and amines,histidine ammonia-lyase,TIGR01225,665
SAUSA300_RS00280,1250.369723532237,1.7885453209823832,0.19137538936277512,4.120411321476663,3.7819661272649226e-5,7.552050011376545e-4,adhC,alcohol dehydrogenase,NA,Unknown function,Enzymes of unknown specificity,"NDMA-dependent alcohol dehydrogenase, Rxyl_3153 family",TIGR03989,332.2
SAUSA300_RS00585,29811.221341614968,4.253795799269366,0.30241800555216897,10.759266113565007,5.3595273663391445e-27,1.9850603891023212e-25,spa,peptidoglycan-binding protein LysM,NA,NA,NA,"gram-positive signal peptide, YSIRK family",TIGR01168,34.6
SAUSA300_RS00710,441.24596317381634,-1.4645955815780658,0.1461411375318296,-3.1790883075402134,0.0014773907402731766,0.026358812841703137,sasD,hypothetical protein,Cell structure,Cell envelope,Other,LPXTG cell wall anchor domain,TIGR01167,20.7
SAUSA300_RS00895,9177.19755187232,3.634155150755118,0.11515411013660609,22.875042389978507,8.234632829616092e-116,1.0475885069328994e-113,aldA,aldehyde dehydrogenase,Cellular processes,Cellular processes,Adaptations to atypical conditions,betaine-aldehyde dehydrogenase,TIGR01804,518.9
SAUSA300_RS00940,25752.347002238435,5.767448698896405,0.21741908028316384,21.927462358351164,1.4213637850259422e-106,1.5487923983432233e-104,fdh,formate dehydrogenase,Metabolism,Amino acid biosynthesis,Serine family,phosphoglycerate dehydrogenase,TIGR01327,203.4
SAUSA300_RS01010,1088.9771074412267,3.124704081911822,0.15854169715576127,13.401547479489764,5.921545185419447e-41,2.7502287638948095e-39,mupG,hypothetical protein,NA,NA,NA,quinoprotein dehydrogenase-associated SoxYZ-like carrier,TIGR04557,12.1
SAUSA300_RS01015,422.29350970680207,3.730534355720682,0.29353356570404143,9.30229000956495,1.3745276063724964e-20,4.3715954089629615e-19,murQ,N-acetylmuramic acid 6-phosphate etherase,Cell structure,Cell envelope,Biosynthesis and degradation of murein sacculus and peptidoglycan,N-acetylmuramic acid 6-phosphate etherase,TIGR00274,352.6
SAUSA300_RS01020,869.332078225045,2.05375927826597,0.17059520899116132,6.176957046434794,6.534884262979754e-10,1.5673009306130132e-8,murP,permease,NA,NA,NA,"PTS system, sucrose-specific IIBC component",TIGR01996,294.4
SAUSA300_RS01025,911.0900266096577,1.6193961786354552,0.11565996756911835,5.355320355466158,8.540496340322125e-8,1.9075948314337814e-6,murR,MurR/RpiR family transcriptional regulator,NA,NA,NA,6-phospho 3-hexuloisomerase,TIGR03127,41.6
SAUSA300_RS01060,1053.176951564819,1.6845230193388088,0.17166503620916027,3.9875506070133677,6.67589669678736e-5,0.0012947867983572677,-,ABC transporter permease,Metabolism,Transport and binding proteins,Cations and iron carrying compounds,"nickel ABC transporter, permease subunit NikB",TIGR02789,205.4
SAUSA300_RS01065,988.0794058230492,1.6210577892676936,0.1778661717267536,3.4917139287272225,4.799319642913932e-4,0.008887853971624156,-,ABC transporter permease,Metabolism,Transport and binding proteins,Cations and iron carrying compounds,"nickel ABC transporter, permease subunit NikC",TIGR02790,222.4
SAUSA300_RS01085,1099.1933880773615,-1.4100734063060272,0.11485447964232745,-3.570373637868125,3.5647238757072994e-4,0.006686142346358691,azoR,FMN-dependent NADH-azoreductase,NA,NA,NA,"LLM-partnered FMN reductase, CE1759 family",TIGR04037,15.3
SAUSA300_RS01135,441.7927686923604,4.0630045616030115,0.18678118103675506,16.398892782460077,1.9475527533156626e-60,1.139707871240326e-58,uhpT,hexose phosphate transporter,Metabolism,Transport and binding proteins,"Carbohydrates, organic alcohols, and acids",phosphoglycerate transporter family protein,TIGR00881,357.1
SAUSA300_RS01180,255.06903432357254,1.5817025677929117,0.1458874930156432,3.9873367878803503,6.681914099519734e-5,0.0012947867983572677,coa,coagulase,NA,NA,NA,two transmembrane protein,TIGR04527,16.9
SAUSA300_RS01185,199.87525529527574,3.079789656171076,0.21063626689433643,9.873844076501706,5.405254597667837e-23,1.8179051669857573e-21,NA,hypothetical protein,NA,NA,NA,NA,NA,NA
SAUSA300_RS01195,8023.397146142812,4.137927596982736,0.16612012317012192,18.889509212374083,1.391332523312633e-79,9.04675325158392e-78,fadA,acetyl-CoA acetyltransferase,Metabolism,Fatty acid and phospholipid metabolism,Other,acetyl-CoA C-acyltransferase,TIGR01930,454.8
SAUSA300_RS01200,12608.795218463032,4.085379033365164,0.16258618804961722,18.976882786768968,2.6485082964405628e-80,1.7612580171329742e-78,fadB,3-hydroxyacyl-CoA dehydrogenase,NA,NA,NA,"fatty acid oxidation complex, alpha subunit, mitochondrial",TIGR02441,175
SAUSA300_RS01205,8281.625066270848,3.994449813876497,0.14818547710411295,20.20744456471021,8.419571978272667e-91,7.038762173835949e-89,fadD,glutaryl-CoA dehydrogenase,NA,NA,NA,cyclohexanecarboxyl-CoA dehydrogenase,TIGR03207,73
SAUSA300_RS01210,10074.991148138626,3.1811266565356364,0.13599953630625924,16.037750684854743,6.963097141046234e-58,3.994906320529663e-56,fadE,long-chain-fatty-acid--CoA ligase,Metabolism,"Biosynthesis of cofactors, prosthetic groups, and carriers",Menaquinone and ubiquinone,O-succinylbenzoate-CoA ligase,TIGR01923,271.9
SAUSA300_RS01215,16720.977101015098,2.987518143652123,0.10470545842869859,18.981991707772963,2.403111656703607e-80,1.6352336529104079e-78,fadX,acyl CoA:acetate/3-ketoacid CoA transferase,NA,NA,NA,"3-oxoacid CoA-transferase, A subunit",TIGR02429,39.3
SAUSA300_RS01260,2542.151921053898,3.8677026189926447,0.13663154267804808,20.98858406180745,8.339317069272922e-98,8.414083360238817e-96,glcC,PTS glucose transporter subunit IIB,Metabolism,Transport and binding proteins,"Carbohydrates, organic alcohols, and acids","PTS system, glucose-specific IIBC component",TIGR02002,591.6
SAUSA300_RS01675,3273.1536768302303,6.807388377520037,0.16403510756753506,35.40332593209701,1.5176735214086425e-274,4.440712723641688e-271,nanT,hypothetical protein,Metabolism,Transport and binding proteins,Cations and iron carrying compounds,"transporter, solute:sodium symporter (SSS) family",TIGR00813,220.4
SAUSA300_RS01680,2730.4818116953934,7.562826075346884,0.1923113026575966,34.12605491540849,3.0303475390293874e-255,4.433398449599994e-252,nanA,N-acetylneuraminate lyase,Cell structure; Metabolism,Cell envelope; Central intermediary metabolism,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides; Amino sugars,N-acetylneuraminate lyase,TIGR00683,367.8
SAUSA300_RS01685,593.7574223754178,5.0351481039469235,0.19576958258430222,20.61172144661089,2.1543237274211616e-94,2.0334036214304256e-92,nanK,ROK family protein,NA,Unknown function,General,ROK family protein (putative glucokinase),TIGR00744,112.5
SAUSA300_RS01690,1061.6693753654245,1.843676949364309,0.10131432108515592,8.32732174807931,8.269177803598785e-17,2.4195614253330046e-15,nanR,MurR/RpiR family transcriptional regulator,NA,NA,NA,6-phospho 3-hexuloisomerase,TIGR03127,73.6
SAUSA300_RS01695,1642.8807204289808,3.986880503226798,0.11883188234344935,25.135346207796992,2.043921791583158e-139,5.980515162172321e-137,nanE,N-acetylmannosamine-6-phosphate 2-epimerase,NA,NA,NA,3-hexulose-6-phosphate synthase,TIGR03128,28.3
SAUSA300_RS01700,399.11361214043154,3.2859740323346776,0.13884537220156815,16.464171589500477,6.636495091507988e-61,3.962935640357627e-59,-,histidine transporter,Cellular processes,Cellular processes,Sporulation and germination,sporulation integral membrane protein YlbJ,TIGR02871,28.4
SAUSA300_RS01755,643.5595234869107,2.930626616300353,0.13773771948569993,14.016687828934126,1.232332337528373e-44,5.9111547862426544e-43,ulaA,PTS ascorbate transporter subunit IIC,NA,NA,NA,NA,NA,NA
SAUSA300_RS01760,136.90563633094564,3.1314916616199207,0.1825936284595533,11.673417520656105,1.742786951879398e-31,7.499109737057528e-30,-,PTS lactose transporter subunit IIB,NA,NA,NA,NA,NA,NA
SAUSA300_RS01765,194.1769602848635,3.779095791985934,0.24379099023095968,11.399501636024812,4.2051938434220574e-30,1.685533861075745e-28,-,PTS ascorbate transporter subunit IIA,Metabolism; Signal transduction,Transport and binding proteins; Signal transduction,"Carbohydrates, organic alcohols, and acids; PTS","PTS system, fructose subfamily, IIA component",TIGR00848,32.7
SAUSA300_RS01770,915.5746008742942,3.523545565940277,0.11508738206757112,21.92721322358893,1.4291659178150044e-106,1.5487923983432233e-104,-,hypothetical protein,Metabolism; Signal transduction,Transport and binding proteins; Signal transduction,"Carbohydrates, organic alcohols, and acids; PTS","PTS system, fructose subfamily, IIA component",TIGR00848,27.5
SAUSA300_RS01790,1384.037181107507,3.836214785663667,0.11964269034414703,23.705708869513195,3.148594426854522e-124,4.848835417355964e-122,glpT,glycerol-3-phosphate transporter,Metabolism,Transport and binding proteins,Other,glycerol-3-phosphate transporter,TIGR00712,666.5
SAUSA300_RS02055,5778.023845950656,1.8935468322362392,0.10202130032589221,8.758434066042422,1.979814733898922e-18,6.034310324362757e-17,-,hypothetical protein,NA,NA,NA,NA,NA,NA
SAUSA300_RS02060,244.93922448707116,-1.4216584573670723,0.12115353854143059,-3.4803643578505863,5.007323028503085e-4,0.009214734076352217,xpt,xanthine phosphoribosyltransferase,Metabolism,"Purines, pyrimidines, nucleosides, and nucleotides",Salvage of nucleosides and nucleotides,xanthine phosphoribosyltransferase,TIGR01744,331
SAUSA300_RS02065,539.9891662149324,-1.4082609785232356,0.10898196143228725,-3.7461335174894668,1.795810364767383e-4,0.003456934952177212,pbuX,xanthine permease,NA,NA,NA,xanthine permease,TIGR03173,508.8
SAUSA300_RS02195,9738.344045495336,1.6388254931677433,0.1121747398759592,5.694913969706058,1.2343414484805678e-8,2.843844943507198e-7,-,hypothetical protein,NA,NA,NA,NA,NA,NA
SAUSA300_RS02315,341.1034060643604,-1.8224421200579746,0.16003975026728037,-5.138986524812894,2.7622420431108976e-7,5.986903865290731e-6,-,sodium-dependent transporter,NA,NA,NA,NA,NA,NA
SAUSA300_RS02380,4451.155348871498,2.161121672784911,0.16169177446733632,7.181080649340462,6.916253619306105e-13,1.839723462735424e-11,gltB,glutamate synthase large subunit,NA,NA,NA,formylmethanofuran dehydrogenase subunit C,TIGR03122,25.9
SAUSA300_RS02385,2412.212928013078,2.116869129209216,0.17326109895308367,6.44616209846185,1.1471796682334204e-10,2.7972064243758234e-9,gltD,glutamate synthase subunit beta,NA,NA,NA,"glutamate synthase, NADH/NADPH, small subunit",TIGR01317,607.8
SAUSA300_RS02390,125.67777247829622,1.8142932271950765,0.1850637841391979,4.400067960258482,1.0821698128644274e-5,2.198908939195357e-4,-,tRNA-Ser,NA,NA,NA,NA,NA,NA
SAUSA300_RS02395,1461.657688637396,1.7136365650760248,0.12303929258389673,5.800070449766426,6.628706491639306e-9,1.551647615562929e-7,treP,PTS ascorbate transporter subunit IIA,NA,NA,NA,"PTS system, trehalose-specific IIBC component",TIGR01992,702.4
