GeneID,Chromosome,Start,End,Strand,Length,Class,Assembly,Old_GeneID,Description,Name
SAUSA300_RS00010,NC_007793.1,544,1905,+,1362,protein_coding,GCF_000013465.1,SAUSA300_0001,chromosomal replication initiator protein DnaA,dnaA
SAUSA300_RS00015,NC_007793.1,2183,3316,+,1134,protein_coding,GCF_000013465.1,SAUSA300_0002,DNA polymerase III subunit beta,dnaN
SAUSA300_RS00020,NC_007793.1,3697,3942,+,246,protein_coding,GCF_000013465.1,SAUSA300_0003,S4 domain-containing protein YaaA,yaaA
SAUSA300_RS00025,NC_007793.1,3939,5051,+,1113,protein_coding,GCF_000013465.1,SAUSA300_0004,DNA replication/repair protein RecF,recF
SAUSA300_RS00030,NC_007793.1,5061,6995,+,1935,protein_coding,GCF_000013465.1,SAUSA300_0005,DNA topoisomerase (ATP-hydrolyzing) subunit B,NA
SAUSA300_RS00035,NC_007793.1,7032,9695,+,2664,protein_coding,GCF_000013465.1,SAUSA300_0006,DNA gyrase subunit A,gyrA
SAUSA300_RS00040,NC_007793.1,9782,10594,-,813,protein_coding,GCF_000013465.1,SAUSA300_0007,NAD(P)H-hydrate dehydratase,NA
SAUSA300_RS00045,NC_007793.1,10920,12434,+,1515,protein_coding,GCF_000013465.1,SAUSA300_0008,histidine ammonia-lyase,hutH
SAUSA300_RS00050,NC_007793.1,12813,14099,+,1287,protein_coding,GCF_000013465.1,SAUSA300_0009,serine--tRNA ligase,serS
SAUSA300_RS00055,NC_007793.1,14749,15444,+,696,protein_coding,GCF_000013465.1,SAUSA300_0010,AzlC family ABC transporter permease,NA
SAUSA300_RS00060,NC_007793.1,15441,15770,+,330,protein_coding,GCF_000013465.1,SAUSA300_0011,AzlD domain-containing protein,NA
SAUSA300_RS00065,NC_007793.1,16133,17101,+,969,protein_coding,GCF_000013465.1,SAUSA300_0012,alpha/beta fold hydrolase,NA
SAUSA300_RS00070,NC_007793.1,17392,18330,+,939,protein_coding,GCF_000013465.1,SAUSA300_0013,YybS family protein,NA
SAUSA300_RS00075,NC_007793.1,18345,20312,+,1968,protein_coding,GCF_000013465.1,SAUSA300_0014,cyclic-di-AMP phosphodiesterase GdpP,gdpP
SAUSA300_RS00080,NC_007793.1,20309,20755,+,447,protein_coding,GCF_000013465.1,SAUSA300_0015,50S ribosomal protein L9,NA
SAUSA300_RS00085,NC_007793.1,20787,22187,+,1401,protein_coding,GCF_000013465.1,SAUSA300_0016,replicative DNA helicase,dnaB
SAUSA300_RS00090,NC_007793.1,22465,23748,+,1284,protein_coding,GCF_000013465.1,SAUSA300_0017,adenylosuccinate synthase,NA
SAUSA300_RS00095,NC_007793.1,24178,24252,+,75,tRNA,GCF_000013465.1,SAUSA300_0018,NA,NA
SAUSA300_RS00100,NC_007793.1,24260,24332,+,73,tRNA,GCF_000013465.1,SAUSA300_0019,NA,NA
SAUSA300_RS00105,NC_007793.1,24952,25653,+,702,protein_coding,GCF_000013465.1,SAUSA300_0020,response regulator transcription factor,NA
SAUSA300_RS00110,NC_007793.1,25666,27492,+,1827,protein_coding,GCF_000013465.1,SAUSA300_0021,cell wall metabolism sensor histidine kinase WalK,walK
SAUSA300_RS00115,NC_007793.1,27485,28819,+,1335,protein_coding,GCF_000013465.1,SAUSA300_0022,hypothetical protein,NA
