GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,pan_gene_symbol,product,TIGRFAM Meta Role,TIGRFAM Main Role,TIGRFAM Sub Role,TIGRFAM function,TIGRFAM,TIGRFAM HMM score
SAUSA300_RS00010,5791.855032704494,0.7454887631826692,0.08266420775658441,80.87861270185218,2.7379934181310166e-18,1.6648583945371035e-17,dnaA,chromosomal replication initiator protein DnaA,Genetic information processing,DNA metabolism,"DNA replication, recombination, and repair",chromosomal replication initiator protein DnaA,TIGR00362,594.7
SAUSA300_RS00015,5664.46016128971,0.8526392887374422,0.0787569678378912,119.52102858436955,1.112598338890952e-26,9.952513408377119e-26,dnaN,DNA polymerase III subunit beta,Genetic information processing,DNA metabolism,"DNA replication, recombination, and repair","DNA polymerase III, beta subunit",TIGR00663,375.1
SAUSA300_RS00020,1385.0527683312382,1.1454377383914967,0.09561254217324648,178.21694777034378,1.998395765807987e-39,2.6492246571049123e-38,-,RNA-binding protein,Genetic information processing,DNA metabolism,"DNA replication, recombination, and repair",S4 domain protein YaaA,TIGR02988,90
SAUSA300_RS00025,4966.871785519784,1.2074498734751489,0.07582741914695633,286.10990308826104,7.447730197508833e-63,1.699121703199108e-61,recF,DNA replication and repair protein RecF,Genetic information processing,DNA metabolism,"DNA replication, recombination, and repair",DNA replication and repair protein RecF,TIGR00611,475
SAUSA300_RS00030,6168.325533786453,1.5561080204726447,0.16198627778258887,90.82664292374255,1.8934118210954085e-20,1.2722171208867095e-19,gyrB,DNA gyrase subunit B,Genetic information processing,DNA metabolism,"DNA replication, recombination, and repair","DNA gyrase, B subunit",TIGR01059,985.5
SAUSA300_RS00035,10034.46106514755,1.4628133405236903,0.1127723380792144,165.66619557887714,1.0617999757693445e-36,1.3129736675164626e-35,gyrA,DNA gyrase subunit A,Genetic information processing,DNA metabolism,"DNA replication, recombination, and repair","DNA gyrase, A subunit",TIGR01063,1209
SAUSA300_RS00045,1164.9213965435229,1.7412040878166613,0.1564925193797857,269.6320750455028,2.819284033534634e-59,5.9265377933517345e-58,hutH,histidine ammonia-lyase,Metabolism,Energy metabolism,Amino acids and amines,histidine ammonia-lyase,TIGR01225,665
SAUSA300_RS00050,3280.948156091949,1.3714527849130995,0.096986814453923,277.43032603625704,5.711762554073661e-61,1.2540887257160504e-59,serS,serine--tRNA ligase,Genetic information processing,Protein synthesis,tRNA aminoacylation,serine--tRNA ligase,TIGR00414,571.6
SAUSA300_RS00055,287.30100045963553,-1.7511665524392241,0.15951469556889372,167.86014097391865,3.545141071956478e-37,4.47783269303344e-36,-,branched-chain amino acid ABC transporter permease,Metabolism,Transport and binding proteins,"Amino acids, peptides and amines",azaleucine resistance protein AzlC,TIGR00346,89.7
SAUSA300_RS00060,250.16151289012535,-2.3176615778740723,0.17785824811319842,218.58072383742908,3.4339889512064645e-48,5.84175114647435e-47,-,membrane protein,Genetic information processing,Protein fate,Protein and peptide secretion and trafficking,type II secretion system protein F,TIGR02120,9.3
SAUSA300_RS00065,3080.5033047792717,-1.0276436615093898,0.07544088556257729,240.84532633505535,5.024604584296718e-53,9.242132057240775e-52,metX,homoserine O-acetyltransferase,Metabolism,Amino acid biosynthesis,Aspartate family,homoserine O-acetyltransferase,TIGR01392,202
SAUSA300_RS00085,4072.396579746009,-0.8731023257285289,0.10438346450024696,79.02108101557378,6.93091033541183e-18,4.104158776079882e-17,dnaC,replicative DNA helicase,Genetic information processing,DNA metabolism,"DNA replication, recombination, and repair",replicative DNA helicase,TIGR00665,585.3
SAUSA300_RS00090,393.88011052502395,1.2892336614252182,0.14502133565234956,91.06240345097437,1.6828690999792746e-20,1.1385479910894264e-19,purA,adenylosuccinate synthetase,Metabolism,"Purines, pyrimidines, nucleosides, and nucleotides",Purine ribonucleotide biosynthesis,adenylosuccinate synthase,TIGR00184,595
SAUSA300_RS00130,706.6687108199393,1.6227528040218042,0.1462288368235734,138.9177321202295,6.829639038014424e-31,7.102341939532313e-30,adsA,"multifunctional 2',3'-cyclic-nucleotide 2'-phosphodiesterase/5'-nucleotidase/3'-nucleotidase",Metabolism,"Biosynthesis of cofactors, prosthetic groups, and carriers; Transport and binding proteins",Pyridine nucleotides; Other,NAD nucleotidase,TIGR01530,134.4
SAUSA300_RS00140,1204.9300432914645,1.0261646901110837,0.12551957055082386,66.62442091317196,3.409500972887785e-15,1.745071541427609e-14,-,hypothetical protein,NA,NA,NA,NA,NA,NA
SAUSA300_RS00155,860.1403684976345,0.918273465412613,0.10202537553506418,116.70852855761564,4.5400959175210926e-26,3.9298536133131104e-25,ugpQ,glycerophosphoryl diester phosphodiesterase,Metabolism,Energy metabolism,Methanogenesis,"tetrahydromethanopterin S-methyltransferase, subunit B",TIGR04166,12.4
SAUSA300_RS00170,15581.888890418599,0.8876223639958076,0.06430198546635338,237.92249802287444,2.1666361949235754e-52,3.9605033053789335e-51,mecR1,beta-lactam sensor/signal transducer MecR1,NA,NA,NA,NA,NA,NA
SAUSA300_RS00175,4135.760128779254,0.8023079934082393,0.08480229482719877,119.3836435295482,1.1917116715150767e-26,1.062790136142082e-25,rplL,type I restriction endonuclease,NA,NA,NA,NA,NA,NA
SAUSA300_RS00220,509.1779922036508,1.065385900127124,0.13465565631708637,62.16251247838247,3.1738173117894126e-14,1.5089732388685366e-13,-,hypothetical protein,NA,NA,NA,NA,NA,NA
SAUSA300_RS00225,2161.6511337957895,0.9811089993724229,0.10661393639568108,85.24924375396947,3.078661393155306e-19,1.9484947268937775e-18,-,ATPase AAA,NA,NA,NA,NA,NA,NA
